EQUIPO,ID_TEAM
Real Madrid,ffd4cd06
Barcelona,ffd4cd07
Real Betis,ffd4cd08
Athletic Club,ffd4cd09
Osasuna,ffd4cd0a
Villarreal,ffd4cd0b
Atlético Madrid,ffd4cd0c
Real Sociedad,ffd4cd0d
Valencia,ffd4cd0e
Mallorca,ffd4f40d
Gerona,ffd4f40e
Rayo Vallecano,ffd4f40f
Celta Vigo,ffd4f410
Getafe,ffd4f411
Sevilla FC,ffd4f412
Almería,ffd4f413
Espanyol,ffd4f414
Real Valladolid,ffd4f415
Cádiz,ffd4f416
Elche,ffd4f417
Arsenal,ffd4f418
Manchester City,ffd4f419
Tottenham Hotspur,ffd4f41a
Brighton & Hove Albion,ffd4f41b
Manchester United,ffd4f41c
Fulham,ffd4f41d
Chelsea,ffd4f41e
Liverpool,ffd4f41f
Brentford,ffd4f420
Newcastle United,ffd4f421
Leeds United,ffd4f422
AFC Bournemouth,ffd4f423
Everton,ffd4f424
Southampton,ffd4f425
Aston Villa,ffd4f426
Crystal Palace,ffd4f427
Wolverhampton Wanderers,ffd4f428
West Ham United,ffd4f429
Nottingham Forest,ffd4f42a
Leicester City,ffd4f42b
Napoli,ffd4f42c
Atalanta,ffd4f42d
Udinese,ffd4f42e
Lazio,ffd4f42f
AC Milan,ffd4f430
AS Roma,ffd4f431
Internazionale,ffd4f432
Juventus,ffd4f433
Torino,ffd4f434
Fiorentina,ffd4f435
Sassuolo,ffd4f436
Spezia,ffd4f437
Salernitana,ffd4f438
Empoli,ffd4f439
Lecce,ffd4f43a
Bolonia,ffd4f43b
Hellas Verona,ffd4f43c
Monza,ffd4f43d
Cremonese,ffd4f43e
Sampdoria,ffd4f43f
Paris Saint-Germain,ffd4f440
Marseille,ffd4f441
Lorient,ffd4f442
Lens,ffd4f443
AS Mónaco,ffd4f444
NLyon,ffd4f445
LLille,ffd4f446
Stade Rennais,ffd4f447
Montpellier,ffd4f448
Troyes,ffd4f449
rmontClermont Foot,ffd4f44a
LToulouse,ffd4f44b
ENice,ffd4f44c
Angers,ffd4f44d
Nantes,ffd4f44e
AJ Auxerre,ffd4f44f
MStade de Reims,ffd4f450
AStrasbourg,ffd4f451
Brest,ffd4f452
AC Ajaccio,ffd4f453
Benfica,ffd4f454
GBraga,ffd4f455
FC Porto,ffd4f456
OPortimonense,ffd4f457
Boavista,ffd4f458
Casa Pia,ffd4f459
Estoril,ffd4f45a
Sporting CP,ffd4f45b
Guimaraes,ffd4f45c
CGil Vicente,ffd4f45d
GD Chaves,ffd4f45e
Arouca,ffd4f45f
Rio Ave,ffd4f460
Santa Clara,ffd4f461
Vizela,ffd4f462
FC Famalicao,ffd4f463
Paços de Ferreira,ffd4f464
Maritimo,ffd4f465
PSV Eindhoven,ffd4f466
XAjax Amsterdam,ffd4f467
Z Alkmaar,ffd4f468
Feyenoord Rotterdam,ffd4f469
FC Twente,ffd4f46a
Heerenveen,ffd4f46b
RotterdamSparta Rotterdam,ffd4f46c
RKC Waalwijk,ffd4f46d
FC Utrecht,ffd4f46e
Excelsior,ffd4f46f
NEC Nijmegen,ffd4f470
FC Groningen,ffd4f471
AheadGo Ahead Eagles,ffd4f472
Vitesse,ffd4f473
VolendamFC Volendam,ffd4f474
tunaFortuna Sittard,ffd4f475
SC Cambuur,ffd4f476
FC Emmen,ffd4f477
